timestamp,open,high,low,close
1788663600000,79872.1,80080.5,79850.6,79991.1
1788660000000,79914.9,79978.3,79829.9,79872.1
1788656400000,79832.8,80029,79832.7,79914.9
1788652800000,79797.7,79909,79788.2,79832.8
1788649200000,79757.6,79868.5,79670.4,79797.7
1788645600000,79872.4,79908.4,79709,79757.6
1788642000000,79702.2,79910.2,79683,79872.4
1788638400000,79720,79812,79653,79702.2
1788634800000,79959.2,79959.2,79674.4,79720
1788631200000,80030.1,80052.9,79894.6,79959.2
1788627600000,80001.4,80120.1,79925.1,80030.1
1788624000000,79760.2,80167,79712,80001.4
1788620400000,79672.2,79782.3,79637.6,79760.2
1788616800000,79573.8,79719.9,79573.8,79672.2
1788613200000,79666,79722.7,79504.4,79573.8
1788609600000,79577.5,79734.4,79572.8,79666
1788606000000,79581.3,79649,79562.7,79577.5
1788602400000,79594.7,79639.9,79551.9,79581.3
1788598800000,79617.4,79698.1,79572.5,79594.7
1788595200000,79673.1,79684.7,79524.1,79617.4
1788591600000,79603.1,79722.1,79600,79673.1
1788588000000,79540,79676.9,79534.1,79603.1
1788584400000,79460.1,79564.1,79405.2,79540
1788580800000,79543.9,79553.6,79460,79460.1
1788577200000,79530.1,79589.5,79474.3,79543.9
1788573600000,79492.1,79584.1,79435.4,79530.1
1788570000000,79542.7,79675.1,79492,79492.1
1788566400000,79616.2,79675.8,79518.3,79542.7
1788562800000,79600.4,79723.5,79549.5,79616.2
1788559200000,79584.7,79680.9,79577.5,79600.4
1788555600000,79656.3,79770.8,79472.9,79584.7
1788552000000,79757.2,79840.9,79616.8,79656.3
1788548400000,79536.5,79776.1,79576,79757.2
1788544800000,79430.1,79626.6,79430,79536.5
1788541200000,79705.3,79718.2,79348.2,79430.1
1788537600000,79384.9,79838.1,79334.1,79705.3
1788534000000,78874.1,79518.7,78755,79384.9
1788530400000,79342.9,79542.9,78618.1,78874.1
1788526800000,79423.9,79669.7,78948.2,79342.9
1788523200000,81188.1,81331.1,79129.8,79423.9
1788519600000,81150,81399.9,81041.2,81188.1
1788516000000,81018,81155.3,80790.9,81150
1788512400000,81113.7,81277.4,80880.2,81018
1788508800000,80627.9,81209.8,80470.8,81113.7
1788505200000,80763.9,80940.1,80611.8,80627.9
1788501600000,80952.8,81060.9,80538.6,80763.9
1788498000000,81040.5,81115,80818,80952.8
1788494400000,80808.8,81262.7,80775.9,81040.5
1788490800000,80800,81006.3,80755.2,80808.8
1788487200000,80935.3,80935.4,80627.3,80800
1788483600000,80936.9,81064,80720,80935.3
1788480000000,81230.6,81393.8,80921.1,80936.9
1788476400000,81109.1,81310.4,81033.7,81230.6
1788472800000,81546.9,81570,80862.9,81109.1
1788469200000,81420.2,82263.1,81245.4,81546.9
1788465600000,81715.7,81749.9,81350,81420.2
1788462000000,81226.6,81763.9,81132.5,81715.7
1788458400000,81006.9,81322.1,80866,81226.6
1788454800000,80937.2,81159.8,80851.7,81006.9
1788451200000,81316.8,81333.1,80588,80937.2
1788447600000,80508.4,81333.4,80320.7,81316.8
1788444000000,78802.6,80530.3,78665.7,80508.4
1788440400000,78616.5,78964,78413.1,78802.6
1788436800000,77909.6,78750.4,77854,78616.5
1788433200000,77707,77976,77676.7,77909.6
